source prefix	source identifier	source name	relation	target prefix	target identifier	target name	type	confidence	source	prediction_type	prediction_source
mondo	mondo:0024674	Pancoast syndrome	skos:exactMatch	icd11	icd11:425844952	Pancoast tumour	semapv:SemanticSimilarityThresholdMatching	0.73	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0017601	diffuse large B-cell lymphoma with chronic inflammation	skos:exactMatch	icd11	icd11:42599396	Diffuse large B-cell lymphoma associated with chronic inflammation	semapv:SemanticSimilarityThresholdMatching	0.84	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0011326	citrullinemia, type II, adult-onset	skos:exactMatch	icd11	icd11:429215356	Adult-onset citrullinaemia type 1	semapv:SemanticSimilarityThresholdMatching	0.69	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0016601	adult-onset citrullinemia type I	skos:exactMatch	icd11	icd11:429215356	Adult-onset citrullinaemia type 1	semapv:SemanticSimilarityThresholdMatching	0.72	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0000751	cervical polyp	skos:exactMatch	icd11	icd11:429404052	Adenomatous polyp of cervix	semapv:SemanticSimilarityThresholdMatching	0.81	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0015074	thyroid tumor	skos:exactMatch	icd11	icd11:429485256	Neoplasms of unknown behaviour of thyroid gland	semapv:SemanticSimilarityThresholdMatching	0.56	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0012639	hereditary spastic paraplegia 18	skos:exactMatch	icd11	icd11:429795598	Autosomal recessive spastic paraplegia type 18	semapv:SemanticSimilarityThresholdMatching	0.91	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0012160	spondylometaphyseal dysplasia-cone-rod dystrophy syndrome	skos:exactMatch	icd11	icd11:430156722	Spondylometaphyseal dysplasia - cone-rod dystrophy	semapv:SemanticSimilarityThresholdMatching	0.72	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0002103	factitious disorder	skos:exactMatch	icd11	icd11:430567349	Factitious disorders	semapv:SemanticSimilarityThresholdMatching	0.79	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0005495	adrenal gland disorder	skos:exactMatch	icd11	icd11:431184682	Certain specified disorders of adrenal gland	semapv:SemanticSimilarityThresholdMatching	0.77	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0007379	Meesmann corneal dystrophy	skos:exactMatch	icd11	icd11:431332257	Meesmann juvenile epithelial corneal dystrophy	semapv:SemanticSimilarityThresholdMatching	1.03	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0020791	corneal dystrophy, Meesmann, 1	skos:exactMatch	icd11	icd11:431332257	Meesmann juvenile epithelial corneal dystrophy	semapv:SemanticSimilarityThresholdMatching	0.85	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
mondo	mondo:0012556	DK1-congenital disorder of glycosylation	skos:exactMatch	icd11	icd11:431935004	Dolichol kinase deficiency	semapv:SemanticSimilarityThresholdMatching	0.63	logmap	semapv:SemanticSimilarityThresholdMatching	logmap
